name,lon,lat,address,pname,cityname,adname,type
中国工商银行百子图支行(工会驿站),105.4321206,28.87842779,星光路67号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州城西支行),105.4252095,28.8735451,江阳西路49号富川花园1栋1层4号,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(柏香林支行),105.4223347,28.89169521,红星街道香林路二段193-195号,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行(泸州龙南支行),105.4234367,28.90285115,龙马大道一段259号,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行,105.4321106,28.87845779,兴城西苑东北门西北70米,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(自贸区支行),105.4104264,28.9160047,蜀泸大道中国西南商贸城1栋2层,四川省,泸州市,龙马潭区,金融保险服务;银行;中国工商银行
中国工商银行(泸州龙透关支行),105.4126297,28.87380265,轩景上路与一环路交叉口北100米,四川省,泸州市,江阳区,金融保险服务;银行;中国工商银行
中国工商银行(泸州纳溪支行),105.3744513,28.77645844,永宁街道人民东路93、95号,四川省,泸州市,纳溪区,金融保险服务;银行;中国工商银行
中国工商银行(泸县支行),105.3739743,29.13981482,玉蟾街道龙脑大道56号,四川省,泸州市,泸县,金融保险服务;银行;中国工商银行
中国工商银行(泸县龙城支行),105.3783327,29.15220261,玉蟾街道花园路18号,四川省,泸州市,泸县,金融保险服务;银行;中国工商银行
中国工商银行(泸县玉蟾支行),105.3703218,29.15140294,玉蟾街道龙脑大道509号,四川省,泸州市,泸县,金融保险服务;银行;中国工商银行
中国工商银行(江安支行),105.0683703,28.72924165,中心路家家乐超市楼下3-9号,四川省,宜宾市,江安县,金融保险服务;银行;中国工商银行
中国工商银行(江安支行),105.0584341,28.72477514,南屏大道与学府大道交叉口西60米,四川省,宜宾市,江安县,金融保险服务;银行;中国工商银行
中国工商银行(宜宾南溪支行),104.9789967,28.83783237,下正街154-162,四川省,宜宾市,南溪区,金融保险服务;银行;中国工商银行
中国工商银行,104.9651976,28.83274305,锦西路与福临路交叉口北100米,四川省,宜宾市,南溪区,金融保险服务;银行;中国工商银行
中国工商银行(宜宾仙源支行),104.9561872,28.82344552,正信路236号康安江城二期4幢1楼5-8号门市,四川省,宜宾市,南溪区,金融保险服务;银行;中国工商银行
中国工商银行(富顺支行营业室),104.9908293,29.18120788,富世街道釜江大道东段188号,四川省,自贡市,富顺县,金融保险服务;银行;中国工商银行
中国工商银行(晨光支行),104.9733474,29.18085364,釜江大道中段161号,四川省,自贡市,富顺县,金融保险服务;银行;中国工商银行
中国工商银行(北湖支行),104.9777312,29.1876724,富州大道中段22号,四川省,自贡市,富顺县,金融保险服务;银行;中国工商银行
中国工商银行(西城领御营业厅),104.9555087,29.18667938,富世镇富州大道西段西城领御旁,四川省,自贡市,富顺县,金融保险服务;银行;中国工商银行
中国工商银行(长宁支行营业室),104.9127039,28.5787179,竹海路一段66-84号,四川省,宜宾市,长宁县,金融保险服务;银行;中国工商银行
中国工商银行(竹海支行),104.9183099,28.58736258,洪泽路2段289号,四川省,宜宾市,长宁县,金融保险服务;银行;中国工商银行
中国工商银行(自贡沿滩支行),104.8721413,29.27304438,开元南路与安居巷交叉口东南40米,四川省,自贡市,沿滩区,金融保险服务;银行;中国工商银行
中国工商银行(西门支行),103.8219912,30.04419802,诗书路1号,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行(眉山分行营业部),103.8324866,30.04970343,三苏路81号,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行|购物服务;购物相关场所;购物相关场所
中国工商银行(眉山城北支行),103.8358343,30.06439199,香颂城2号门东北150米,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行,103.846984,30.05114975,红星东路二段与二环东路辅路交叉口西20米,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行,103.8479591,30.05998553,眉山市图书馆星梦艺术分馆西南侧50米,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行(眉山新区大市场支行),103.8540084,30.06939907,眉山大市场西2门旁,四川省,眉山市,东坡区,金融保险服务;银行;中国工商银行
中国工商银行(彭山支行),103.8641018,30.1916882,张纲路与紫薇路交叉口西南20米,四川省,眉山市,彭山区,金融保险服务;银行;中国工商银行
中国工商银行(彭山北街支行),103.8743739,30.19638366,古城北路与龙腾街交叉口西40米,四川省,眉山市,彭山区,金融保险服务;银行;中国工商银行
