name,lon,lat,address,pname,cityname,adname,type
阆中市支行营业室,105.9920946,31.54588761,四川省阆中市七里大道541、543、545、547、549号,四川省,南充市,阆中市,金融保险服务;银行;中国农业银行
阆中思依支行,105.7672541,31.62309681,四川省阆中市思依镇盘龙东路223、225、227号,四川省,南充市,阆中市,金融保险服务;银行;中国农业银行
阆中柏垭支行,105.9262497,31.44830419,四川省阆中市柏桠镇中心街1号,四川省,南充市,阆中市,金融保险服务;银行;中国农业银行
阆中水观支行,106.2148799,31.45597539,四川省阆中市水观镇禹王街120、122、124、126、128、130号,四川省,南充市,阆中市,金融保险服务;银行;中国农业银行
阆中老观支行,106.176217,31.75664825,四川省阆中市老观镇奉国大道西段31、33、35号,四川省,南充市,阆中市,金融保险服务;银行;中国农业银行
隆昌响石支行,105.1460434,29.2746752,四川省内江市隆昌市响石镇中心街西段112、114、116、118号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌市支行营业室,105.2825392,29.33322167,四川省内江市隆昌市金鹅街道顺河街31号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌康华支行,105.2849297,29.32968355,四川省内江市隆昌市金鹅街道康复中路137、139、141、143号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌石燕支行,105.3403664,29.29836376,四川省内江市隆昌市石燕桥镇邮政街24号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌石碾支行,105.3289698,29.38502898,四川省内江市隆昌市石碾镇环镇路268、270、272号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌胡家支行,105.2201943,29.23136022,四川省内江市隆昌市胡家镇中心街41、43、45号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌西区支行,105.2689217,29.33676225,隆昌市金鹅镇恒隆路二段89、91、93、95、97号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌隆华路分理处,105.2599223,29.33870306,四川省内江市隆昌市古湖街道隆华路二段194、196、198号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌黄家支行,105.1096353,29.37903653,四川省内江市隆昌市黄家镇新民街29号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
隆昌龙市支行,105.1828525,29.35259707,四川省内江市隆昌市龙市镇新河街50号,四川省,内江市,隆昌市,金融保险服务;银行;中国农业银行
雅安分行营业部营业室,102.9949509,29.9770675,雅安市雨城区人民路21号,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅安南三路支行,102.9949061,29.98446472,四川省雅安市雨城区沿江北路1、2、4、5号,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅安名山支行营业室,103.1007824,30.06629861,四川省雅安市名山区茶都大道仙茶路55号,四川省,雅安市,名山区,金融保险服务;银行;中国农业银行
雅安挺进路支行,103.0008498,29.98259115,四川省雅安市雨城区挺进路181号（附1号、附2号、附3号）,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅安草坝支行,103.1020388,29.95059605,四川省雅安市雨城区草坝西街18号,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅安西城支行,102.9890829,29.98202336,四川省雅安市雨城区西大街71号,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅安雨城支行营业室,103.0450467,30.00866936,雅安市雨城区熊猫大道386号附1号,四川省,雅安市,雨城区,金融保险服务;银行;中国农业银行
雅江县支行营业室,101.0088007,30.02584407,四川省雅江县河口镇解放街73号,四川省,甘孜藏族自治州,雅江县,金融保险服务;银行;中国农业银行
青川县支行营业室,105.2286238,32.56817897,四川省青川县乔庄镇浙金大道中段327号,四川省,广元市,青川县,金融保险服务;银行;中国农业银行
青川竹园支行,105.3287894,32.21850643,四川省青川县竹园镇竹园客运商贸城2楼1号,四川省,广元市,青川县,金融保险服务;银行;中国农业银行
青神东街支行,103.8410018,29.83141928,四川省青神县青竹街道簧门外街1栋1层74号、76号、78号、80号,四川省,眉山市,青神县,金融保险服务;银行;中国农业银行
青神县支行营业室,103.8386677,29.82732208,四川省青神县青竹街道新北街137号,四川省,眉山市,青神县,金融保险服务;银行;中国农业银行
